chapter,code,title,classKind,parent_code,uri,definition
02,2B6B.1,"Tumeurs épithéliales malignes du nasopharynx, de type non précisé",category,2B6B,http://id.who.int/icd/release/11/2024-01/mms/2120146891,
02,2B6B.2,Tumeurs malignes de l'amygdale pharyngée,category,2B6B,http://id.who.int/icd/release/11/2024-01/mms/1582541971,
02,2B6B.20,Carcinome épidermoïde de l'amygdale pharyngée,category,2B6B.2,http://id.who.int/icd/release/11/2024-01/mms/2094038774,
02,2B6B.21,"Tumeur épithéliale maligne de l'amygdale pharyngienne, autre ou non précisée",category,2B6B.2,http://id.who.int/icd/release/11/2024-01/mms/1065258785,
02,2B6B.2Y,Autres tumeurs malignes de l'amygdale pharyngée,category,2B6B.2,http://id.who.int/icd/release/11/2024-01/mms/1582541971/other,
02,2B6B.2Z,"Tumeurs malignes de l'amygdale pharyngée, sans précision",category,2B6B.2,http://id.who.int/icd/release/11/2024-01/mms/1582541971/unspecified,
02,2B6B.Y,Autres tumeurs malignes du nasopharynx,category,2B6B,http://id.who.int/icd/release/11/2024-01/mms/547578362/other,
02,2B6B.Z,"Tumeurs malignes du nasopharynx, sans précision",category,2B6B,http://id.who.int/icd/release/11/2024-01/mms/547578362/unspecified,
02,2B6C,Tumeurs malignes du sinus piriforme,category,,http://id.who.int/icd/release/11/2024-01/mms/1410216197,
02,2B6C.0,Carcinome épidermoïde du sinus piriforme,category,2B6C,http://id.who.int/icd/release/11/2024-01/mms/215991659,
02,2B6C.Y,Autres tumeurs malignes précisées du sinus piriforme,category,2B6C,http://id.who.int/icd/release/11/2024-01/mms/1410216197/other,
02,2B6C.Z,"Tumeurs malignes du sinus piriforme, sans précision",category,2B6C,http://id.who.int/icd/release/11/2024-01/mms/1410216197/unspecified,
02,2B6D,Tumeurs malignes de l'hypopharynx,category,,http://id.who.int/icd/release/11/2024-01/mms/826670225,Tumeur maligne apparaissant dans l'hypopharynx.
02,2B6D.0,Carcinome épidermoïde de l'hypopharynx et ses variantes,category,2B6D,http://id.who.int/icd/release/11/2024-01/mms/680629191,"Carcinome épidermoïde provenant de l'hypopharynx. Les signes et les symptômes comprennent la dysphagie, l'hémoptysie et la présence d'une masse dans le cou."
02,2B6D.Y,Autres tumeurs malignes de l'hypopharynx,category,2B6D,http://id.who.int/icd/release/11/2024-01/mms/826670225/other,
02,2B6D.Z,"Tumeurs malignes de l'hypopharynx, sans précision",category,2B6D,http://id.who.int/icd/release/11/2024-01/mms/826670225/unspecified,
02,2B6E,"Tumeurs malignes de localisations autres ou imprécises, de la lèvre, de la cavité buccale ou du pharynx",category,,http://id.who.int/icd/release/11/2024-01/mms/1118531333,
02,2B6E.0,"Carcinome épidermoïde de localisations autres ou imprécises, de la lèvre, de la cavité buccale ou dupharynx",category,2B6E,http://id.who.int/icd/release/11/2024-01/mms/472349708,
02,2B6E.Y,"Autres tumeurs malignes précisées de localisations autres ou imprécises, de la lèvre, de la cavité buccale ou du pharynx",category,2B6E,http://id.who.int/icd/release/11/2024-01/mms/1118531333/other,
